,Pclass,Sex,Age,Embarked,SibSp,Parch,Fare
0,3,male,22,S,1,0,7.25
1,1,female,38,C,1,0,71.2833
2,3,female,26,S,0,0,7.925
3,1,female,35,S,1,0,53.1
4,3,male,35,S,0,0,8.05
5,3,male,29.69911765,Q,0,0,8.4583
6,1,male,54,S,0,0,51.8625
7,3,male,2,S,3,1,21.075
8,3,female,27,S,0,2,11.1333
9,2,female,14,C,1,0,30.0708
10,3,female,4,S,1,1,16.7
11,1,female,58,S,0,0,26.55
12,3,male,20,S,0,0,8.05
13,3,male,39,S,1,5,31.275
14,3,female,14,S,0,0,7.8542
15,2,female,55,S,0,0,16
16,3,male,2,Q,4,1,29.125
17,2,male,29.69911765,S,0,0,13
18,3,female,31,S,1,0,18
19,3,female,29.69911765,C,0,0,7.225
20,2,male,35,S,0,0,26
21,2,male,34,S,0,0,13
22,3,female,15,Q,0,0,8.0292
23,1,male,28,S,0,0,35.5
24,3,female,8,S,3,1,21.075
25,3,female,38,S,1,5,31.3875
26,3,male,29.69911765,C,0,0,7.225
27,1,male,19,S,3,2,263
28,3,female,29.69911765,Q,0,0,7.8792
29,3,male,29.69911765,S,0,0,7.8958
30,1,male,40,C,0,0,27.7208
31,1,female,29.69911765,C,1,0,146.5208
32,3,female,29.69911765,Q,0,0,7.75
33,2,male,66,S,0,0,10.5
34,1,male,28,C,1,0,82.1708
35,1,male,42,S,1,0,52
36,3,male,29.69911765,C,0,0,7.2292
37,3,male,21,S,0,0,8.05
38,3,female,18,S,2,0,18
39,3,female,14,C,1,0,11.2417
40,3,female,40,S,1,0,9.475
41,2,female,27,S,1,0,21
42,3,male,29.69911765,C,0,0,7.8958
43,2,female,3,C,1,2,41.5792
44,3,female,19,Q,0,0,7.8792
45,3,male,29.69911765,S,0,0,8.05
46,3,male,29.69911765,Q,1,0,15.5
47,3,female,29.69911765,Q,0,0,7.75
48,3,male,29.69911765,C,2,0,21.6792
49,3,female,18,S,1,0,17.8
50,3,male,7,S,4,1,39.6875
51,3,male,21,S,0,0,7.8
52,1,female,49,C,1,0,76.7292
53,2,female,29,S,1,0,26
54,1,male,65,C,0,1,61.9792
55,1,male,29.69911765,S,0,0,35.5
56,2,female,21,S,0,0,10.5
57,3,male,28.5,C,0,0,7.2292
58,2,female,5,S,1,2,27.75
59,3,male,11,S,5,2,46.9
60,3,male,22,C,0,0,7.2292
61,1,female,38,S,0,0,80
62,1,male,45,S,1,0,83.475
63,3,male,4,S,3,2,27.9
64,1,male,29.69911765,C,0,0,27.7208
65,3,male,29.69911765,C,1,1,15.2458
66,2,female,29,S,0,0,10.5
67,3,male,19,S,0,0,8.1583
68,3,female,17,S,4,2,7.925
69,3,male,26,S,2,0,8.6625
70,2,male,32,S,0,0,10.5
71,3,female,16,S,5,2,46.9
72,2,male,21,S,0,0,73.5
73,3,male,26,C,1,0,14.4542
74,3,male,32,S,0,0,56.4958
75,3,male,25,S,0,0,7.65
76,3,male,29.69911765,S,0,0,7.8958
77,3,male,29.69911765,S,0,0,8.05
78,2,male,0.83,S,0,2,29
79,3,female,30,S,0,0,12.475
80,3,male,22,S,0,0,9
81,3,male,29,S,0,0,9.5
82,3,female,29.69911765,Q,0,0,7.7875
83,1,male,28,S,0,0,47.1
84,2,female,17,S,0,0,10.5
85,3,female,33,S,3,0,15.85
86,3,male,16,S,1,3,34.375
87,3,male,29.69911765,S,0,0,8.05
88,1,female,23,S,3,2,263
89,3,male,24,S,0,0,8.05
90,3,male,29,S,0,0,8.05
91,3,male,20,S,0,0,7.8542
92,1,male,46,S,1,0,61.175
93,3,male,26,S,1,2,20.575
94,3,male,59,S,0,0,7.25
95,3,male,29.69911765,S,0,0,8.05
96,1,male,71,C,0,0,34.6542
97,1,male,23,C,0,1,63.3583
98,2,female,34,S,0,1,23
99,2,male,34,S,1,0,26
100,3,female,28,S,0,0,7.8958
101,3,male,29.69911765,S,0,0,7.8958
102,1,male,21,S,0,1,77.2875
103,3,male,33,S,0,0,8.6542
104,3,male,37,S,2,0,7.925
105,3,male,28,S,0,0,7.8958
106,3,female,21,S,0,0,7.65
107,3,male,29.69911765,S,0,0,7.775
108,3,male,38,S,0,0,7.8958
109,3,female,29.69911765,Q,1,0,24.15
110,1,male,47,S,0,0,52
111,3,female,14.5,C,1,0,14.4542
112,3,male,22,S,0,0,8.05
113,3,female,20,S,1,0,9.825
114,3,female,17,C,0,0,14.4583
115,3,male,21,S,0,0,7.925
116,3,male,70.5,Q,0,0,7.75
117,2,male,29,S,1,0,21
118,1,male,24,C,0,1,247.5208
